model_id,direction_id,component_role,pair,burden_model,burden_score,interpretive_result
markan_priority_matthew_and_luke,matthew_used_mark,required,Mark↔Matthew,direct_use,774.87,lower burden than Mark used Matthew
markan_priority_matthew_and_luke,luke_used_mark,required,Mark↔Luke,direct_use,254.6466,lower than Mark used Luke among direct-use alternatives; lower than adjusted shared-tradition in moderate penalty model
markan_priority_matthew_and_luke,shared_matt_luke_sayings_tradition,optional,Matthew↔Luke masked double tradition,common_source_or_oral,8.86,lowest burden in masked double-tradition ledger
markan_priority_matthew_and_luke,luke_used_matthew,optional,Matthew↔Luke,full_pair_direct_use,142.559,full pair score higher than Matthew used Luke; not clean for double tradition because Markan/non-Markan layers mixed
markan_priority_matthew_and_luke,luke_used_matthew,optional,Matthew↔Luke masked double tradition,masked_direct_use,26.446,not favored over common source/oral tradition
markan_priority_matthew_and_luke,matthew_used_luke,optional,Matthew↔Luke,full_pair_direct_use,75.477,lower in full ledger but not decisive after Mark masking
markan_priority_matthew_and_luke,matthew_used_luke,optional,Matthew↔Luke masked double tradition,masked_direct_use,26.446,not favored over common source/oral tradition
two_source_mark_q,matthew_used_mark,required,Mark↔Matthew,direct_use,774.87,lower burden than Mark used Matthew
two_source_mark_q,luke_used_mark,required,Mark↔Luke,direct_use,254.6466,lower than Mark used Luke among direct-use alternatives; lower than adjusted shared-tradition in moderate penalty model
two_source_mark_q,shared_matt_luke_sayings_tradition,required,Matthew↔Luke masked double tradition,common_source_or_oral,8.86,lowest burden in masked double-tradition ledger
two_source_mark_q,proto_mark_common_source,optional,,,,unscored/model-level
farrer_mark_matthew_luke,matthew_used_mark,required,Mark↔Matthew,direct_use,774.87,lower burden than Mark used Matthew
farrer_mark_matthew_luke,luke_used_mark,required,Mark↔Luke,direct_use,254.6466,lower than Mark used Luke among direct-use alternatives; lower than adjusted shared-tradition in moderate penalty model
