direction_id,short_label,source,target,pair,model_family,current_status,best_response_model
matthew_used_mark,Matthew used Mark,Mark,Matthew,Mark↔Matthew,direct written narrative dependence,supported / high confidence relative to reverse,"Matthean redaction of Mark-like narrative source plus additional sayings, fulfillment, infancy, and discourse traditions."
mark_used_matthew,Mark used Matthew,Matthew,Mark,Mark↔Matthew,"direct written narrative dependence, reverse direction","possible locally, higher cumulative burden",Markan epitome/abbreviation model with deliberate focus on action narrative and omission of long discourse/infancy material; plausible only if Mark had strong genre/theological reasons to compress Matthew.
luke_used_mark,Luke used Mark,Mark,Luke,Mark↔Luke,direct written narrative dependence,supported over reverse among direct-use alternatives; medium-high with order-retention penalties,"Luke used Mark-like narrative source selectively, combining it with other sources/traditions and extensive Lukan redaction; shared-tradition alternatives must pay an order-retention penalty."
mark_used_luke,Mark used Luke,Luke,Mark,Mark↔Luke,"direct written narrative dependence, reverse direction","possible locally, higher burden than Luke used Mark among direct-use alternatives",Markan epitome of Luke with radical abbreviation and narrative concentration; this is a high-burden response model in the current data.
matthew_used_luke,Matthew used Luke,Luke,Matthew,Matthew↔Luke,direct written dependence in double tradition / infancy / sayings,not demonstrated after Markan masking; possible locally,"Matthew used Luke-like sayings/tradition or Luke itself selectively, reorganizing sayings into discourse blocks; strongest version requires a robust explanation for displaced double-tradition order."
luke_used_matthew,Luke used Matthew,Matthew,Luke,Matthew↔Luke,direct written dependence in double tradition / Farrer-type direction,possible locally; not demonstrated by masked data alone,"Luke used Matthew selectively, deliberately de-Mattheanizing discourse clusters and redistributing sayings; plausible under a strong editorial-theological program but not forced by current masked data."
john_used_mark,John used Mark,Mark,John,John↔Mark,anchor/episode dependence or shared passion/sign tradition,possible locally; shared anchor tradition currently lower burden,"John knew Mark or Mark-like tradition but used it selectively through a theological rewriting program; strongest only for local passion/sign anchors, not global dependence."
john_used_matthew,John used Matthew,Matthew,John,John↔Matthew,anchor/episode dependence or shared tradition,possible locally; shared anchor tradition currently lower burden,John used Matthew-like tradition selectively or knew Synoptic tradition in a Matthean form; current evidence is better treated anchor by anchor.
john_used_luke,John used Luke,Luke,John,John↔Luke,anchor/episode dependence or shared tradition,possible locally; shared anchor tradition currently lower burden,"John knew Luke-like traditions or a shared passion/sign source; direct use of canonical Luke remains a local possibility, not a global conclusion."
mark_used_john,Mark used John,John,Mark,John↔Mark,reverse John/Synoptic direction,low support; included for completeness,A radical Synoptic condensation of Johannine tradition; currently a high-burden completeness hypothesis.
matthew_used_john,Matthew used John,John,Matthew,John↔Matthew,reverse John/Synoptic direction,low support; included for completeness,Matthew knew a Johannine-like anchor tradition but not necessarily the Gospel of John; direct use of John is not currently supported.
luke_used_john,Luke used John,John,Luke,John↔Luke,reverse John/Synoptic direction,low support; included for completeness,Luke knew a shared Johannine-like passion/sign tradition rather than using canonical John; direct John→Luke is a low-priority hypothesis.
