case_id,source_ref,target_ref,feature,formula_risk,automatic_retrieval_support,philological_case_strength,best_current_model,max_exact_run_len,score,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_prior_score,source_lemma_content_tokens,target_lemma_content_tokens
epistle_1tim_5_18_worker_wages_luke_10_7,1Tim 5:18,Luke 10:7,worker worthy/deserving of wages,low,strong,high,direct written or fixed written-saying tradition; strong evidence against independent convergence,5,0.3436,0.2,0.2222,0.125,3,0.3333,3,αξιοσ εργατησ μισθοσ,3,αξιοσ εργατησ μισθοσ,0.235,-0.1086,λεγω γραφη βουσ αλοαω ου φιμοω αξιοσ εργατησ μισθοσ,οικια μενω εσθιω πινω αξιοσ εργατησ μισθοσ μη μεταβαινω οικια οικια
epistle_1tim_5_18_worker_wages_matt_10_10,1Tim 5:18,Matt 10:10,worker worthy/deserving motif,low,weak,medium,supports Jesus-saying tradition; less specifically supports Matthew than Luke,2,0.1673,0.1176,0.1176,0.0,2,0.2222,2,αξιοσ εργατησ,2,αξιοσ εργατησ,0.1327,-0.0346,λεγω γραφη βουσ αλοαω ου φιμοω αξιοσ εργατησ μισθοσ,μη πηρα οδοσ δυο χιτων υποδημα ραβδοσ αξιοσ εργατησ τροφη
epistle_james_5_12_oaths_matt_5_34_37,Jas 5:12,Matt 5:34-37,no oaths; heaven/earth; yes/yes and no/no,low,weak,medium,"shared Jesus tradition, possibly written or oral; direct Matthew dependence not required by the data",2,0.105,0.1562,0.0488,0.0,5,0.4167,2,μη ομνυω,5,γη ειμι μη ομνυω ουρανοσ,0.1738,0.0688,πασ αδελφοσ μη ομνυω ουρανοσ γη αλλοσ ορκοσ ειμι μη κρισισ πιπτω,λεγω μη ομνυω ολωσ ουρανοσ θρονοσ ειμι θεοσ γη υποποδιον ειμι πουσ ιεροσολυμα πολισ ειμι μεγασ βασιλευσ κεφαλη ομνυω ου δυναμαι εισ θριξ λευκοσ ποιεω μελασ ειμι λογοσ περισσοσ πονηροσ ειμι
epistle_james_2_5_poor_kingdom_luke_6_20,Jas 2:5,Luke 6:20,poor as heirs/possessors of kingdom,low,weak,medium,shared beatitude/Jesus tradition rather than demonstrable direct literary dependence,1,0.0331,0.15,0.0,0.0,2,0.2,1,θεοσ,3,βασιλεια θεοσ πτωχοσ,0.1231,0.09,ακουω αδελφοσ αγαπητοσ θεοσ εκλεγομαι πτωχοσ κοσμοσ πλουσιοσ πιστισ κληρονομοσ βασιλεια επαγγελλομαι αγαπαω,επαιρω οφθαλμοσ μαθητησ λεγω μακαριοσ πτωχοσ υμετεροσ ειμι βασιλεια θεοσ
epistle_james_1_5_6_ask_given_faith,Jas 1:5-6,Matt 7:7-8,ask and it will be given; ask in confidence,low,weak,medium,shared sapiential prayer tradition with possible Jesus-saying influence,2,0.0622,0.1364,0.0645,0.0,4,0.3077,2,αιτεω διδωμι,3,αιτεω διδωμι πασ,0.1453,0.0831,λειπω σοφια αιτεω διδωμι θεοσ πασ απλωσ μη ονειδιζω διδωμι αιτεω πιστισ μηδεισ διακρινω διακρινω εοικα κλυδων θαλασσα ανεμιζομαι ριπιζομαι,αιτεω διδωμι ζητεω ευρισκω κρουω ανοιγω πασ αιτεω λαμβανω ζητεω ευρισκω κρουω ανοιγω
epistle_james_1_22_25_hear_do_words,Jas 1:22-25,Matt 7:24-27,hearing and doing the word/words,low,weak,medium,common sapiential/Jesus tradition; direct dependence unproven,2,0.0473,0.102,0.025,0.0,4,0.1081,2,λογοσ μη,5,ανηρ ειμι λογοσ μη ου,0.0855,0.0382,γινομαι ποιητησ λογοσ μη ακροατησ μονοσ παραλογιζομαι ακροατησ λογοσ ειμι ου ποιητησ εοικα ανηρ κατανοεω προσωπον γενεσισ εσοπτρον κατανοεω απερχομαι ευθεωσ επιλανθανομαι ειμι παρακυπτω νομοσ τελειοσ ελευθερια παραμενω ου ακροατησ επιλησμονη γινομαι ποιητησ εργον μακαριοσ ποιησισ ειμι,πασ ακουω λογοσ ποιεω ομοιοω ανηρ φρονιμοσ οικοδομεω οικια πετρα καταβαινω βροχη ερχομαι ποταμοσ πνεω ανεμοσ προσπιπτω οικια ου πιπτω θεμελιοω πετρα πασ ακουω λογοσ μη ποιεω ομοιοω ανηρ μωροσ οικοδομεω οικια αμμοσ καταβαινω βροχη ερχομαι ποταμοσ πνεω ανεμοσ προσκοπτω οικια πιπτω ειμι πτωσισ μεγασ
epistle_james_4_10_humble_exalt,Jas 4:10,Luke 14:11,humble oneself / be exalted,low,weak,medium,portable Jesus/reversal saying; not enough for direct literary dependence,1,0.03,0.5,0.0,0.0,2,0.6667,1,ταπεινοω,2,ταπεινοω υψοω,0.4,0.37,ταπεινοω κυριοσ υψοω,πασ υψοω ταπεινοω ταπεινοω υψοω
epistle_1cor_11_24_lord_supper_luke_22,1Cor 11:24,Luke 22:19,Lord’s Supper words: do this in remembrance,high,strong,medium,shared formula/tradition more likely than direct Gospel dependence,6,0.6228,0.7273,0.5556,0.25,8,1.0,3,λεγω ειμι σωμα,8,αναμνησισ ειμι εμοσ ευχαριστεω κλαω λεγω ποιεω σωμα,0.6936,0.0708,ευχαριστεω κλαω λεγω ειμι σωμα ποιεω εμοσ αναμνησισ,λαμβανω αρτοσ ευχαριστεω κλαω διδωμι λεγω ειμι σωμα διδωμι ποιεω εμοσ αναμνησισ
epistle_2tim_2_12_denying_christ,2Tim 2:12,Matt 10:33,deny him / he will deny us,low,weak,medium,shared saying/confessional tradition,0,0.0,0.1429,0.0,0.0,2,0.4,1,αρνεομαι,1,αρνεομαι,0.1621,0.1621,υπομενω και συμβασιλευω αρνεομαι αρνεομαι,αρνεομαι ανθρωποσ αρνεομαι πατηρ ουρανοσ
johannine_1john_3_13_world_hates_you,1John 3:13,John 15:18-19,world hates disciples,low,medium,medium,shared Johannine tradition/idiolect; direction requires broader corpus modeling,4,0.3705,0.1667,0.1,0.0,2,0.4,2,μισεω κοσμοσ,2,κοσμοσ μισεω,0.1869,-0.1836,μη θαυμαζω αδελφοσ μισεω κοσμοσ,κοσμοσ μισεω γινωσκω πρωτοσ μισεω κοσμοσ ειμι κοσμοσ ιδιοσ φιλεω κοσμοσ ου ειμι εκλεγομαι κοσμοσ μισεω κοσμοσ
