double_tradition_id,alignment_layer,matt_ref,luke_ref,matt_index,luke_index,score,lcs,tags,order_signal,matt_text,luke_text,shared_lemma_count,model_implication,main_counter_to_direct_use,matt_rank,luke_rank_by_matt_order,rank_distance_abs,nonlocal_flag
dt_secondary_042,secondary_echo_after_markan_mask,Matt 1:21,Luke 1:31,21,31,0.499258,0.714286,weaker_candidate,secondary_echo,"τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.","καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν.",5,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,1,1,0,True
dt_secondary_052,secondary_echo_after_markan_mask,Matt 1:23,Luke 1:31,23,31,0.431884,0.714286,weaker_candidate,secondary_echo,"Ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ· ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν ὁ θεός.","καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν.",5,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,2,2,0,True
dt_primary_001,primary_monotonic_after_markan_mask,Matt 1:25,Luke 1:31,25,31,0.598505,0.714286,moderate_parallel;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν ⸀υἱόν· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.,"καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν.",8,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,3,3,0,False
dt_primary_002,primary_monotonic_after_markan_mask,Matt 3:7,Luke 3:7,55,139,0.581523,0.7,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα ⸀αὐτοῦ εἶπεν αὐτοῖς· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;","Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπ’ αὐτοῦ· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;",12,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,4,4,0,False
dt_secondary_049,secondary_echo_after_markan_mask,Matt 3:8,Luke 3:8,56,140,0.452852,1.0,weaker_candidate,secondary_echo,ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας,"ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.",4,Strong displaced sayings echo; supports real shared tradition but weakens simple linear copying unless redistribution theory is supplied.,Direct-use models need plausible relocation/clustering/redistribution explanation.,5,5,0,True
dt_primary_003,primary_monotonic_after_markan_mask,Matt 3:9,Luke 3:8,57,140,0.759584,0.923077,strong_parallel;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.","ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.",19,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,6,6,0,False
dt_primary_004,primary_monotonic_after_markan_mask,Matt 3:10,Luke 3:9,58,141,0.936647,1.0,close_match;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.,19,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,7,7,0,False
dt_primary_005,primary_monotonic_after_markan_mask,Matt 3:12,Luke 3:17,60,149,0.818265,0.909091,close_match;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.","οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ ⸀διακαθᾶραι τὴν ἅλωνα αὐτοῦ καὶ ⸀συναγαγεῖν τὸν σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.",17,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,8,9,1,False
dt_primary_006,primary_monotonic_after_markan_mask,Matt 4:3,Luke 4:3,68,173,0.515209,0.777778,moderate_parallel;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"καὶ προσελθὼν ⸂ὁ πειράζων εἶπεν αὐτῷ⸃· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.","⸂εἶπεν δὲ⸃ αὐτῷ ὁ διάβολος· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ τῷ λίθῳ τούτῳ ἵνα γένηται ἄρτος.",12,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,9,10,1,False
dt_primary_007,primary_monotonic_after_markan_mask,Matt 4:4,Luke 4:4,69,174,0.47243,0.875,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap,order_preserved_in_primary_chain,"ὁ δὲ ἀποκριθεὶς εἶπεν· Γέγραπται· Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ἄνθρωπος, ἀλλ’ ⸀ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ.",καὶ ἀπεκρίθη ⸂πρὸς αὐτὸν ὁ Ἰησοῦς⸃· Γέγραπται ὅτι Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ⸀ἄνθρωπος.,9,Part of monotonic masked chain; not by itself directional.,Direct-use models must explain displaced/secondary double-tradition material.,10,11,1,False
