layer,source_ref,target_ref,score,max_exact_run_len,max_exact_run,negative_space_flags,interpretation_rule
epistle_to_gospel,1Cor 11:24,Luke 22:16-19,0.4317,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:17-19,0.4493,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:17-20,0.4145,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:18-19,0.4952,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:18-20,0.4356,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:18-21,0.4085,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:19,0.6228,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:19-20,0.49,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:19-21,0.4397,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Luke 22:19-22,0.4041,6,τουτο ποιειτε εισ την εμην αναμνησιν,lord_supper_remembrance,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:33-36,0.1774,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:34-36,0.189,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
epistle_to_gospel,1Cor 11:24,Matt 15:34-37,0.1784,4,και ευχαριστησασ εκλασεν και,nonfungible_phrase_candidate|thin_lexical_basis,"OT/scriptural formulas, liturgical formulas, and common legal/paraenetic formulas should not be counted as direct Gospel dependence without additional contextual evidence."
