variant_case_id,layer,pair_or_context,ref,related_ref,variant_marker_count,variant_note_count,status,potential_effect,conclusion_stability,variant_notes
verse_variant_Matt_1_5,verse_inventory,all_gospels,Matt 1:5,,4.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_6,verse_inventory,all_gospels,Matt 1:6,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_7,verse_inventory,all_gospels,Matt 1:7,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_8,verse_inventory,all_gospels,Matt 1:8,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_10,verse_inventory,all_gospels,Matt 1:10,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_18,verse_inventory,all_gospels,Matt 1:18,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_19,verse_inventory,all_gospels,Matt 1:19,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_20,verse_inventory,all_gospels,Matt 1:20,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_22,verse_inventory,all_gospels,Matt 1:22,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_24,verse_inventory,all_gospels,Matt 1:24,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_1_25,verse_inventory,all_gospels,Matt 1:25,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_3,verse_inventory,all_gospels,Matt 2:3,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_8,verse_inventory,all_gospels,Matt 2:8,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_9,verse_inventory,all_gospels,Matt 2:9,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_13,verse_inventory,all_gospels,Matt 2:13,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_15,verse_inventory,all_gospels,Matt 2:15,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_17,verse_inventory,all_gospels,Matt 2:17,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_18,verse_inventory,all_gospels,Matt 2:18,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_19,verse_inventory,all_gospels,Matt 2:19,,2.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_21,verse_inventory,all_gospels,Matt 2:21,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_2_22,verse_inventory,all_gospels,Matt 2:22,,3.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_2,verse_inventory,all_gospels,Matt 3:2,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
verse_variant_Matt_3_3,verse_inventory,all_gospels,Matt 3:3,,1.0,,variant_marker_present_in_SBLGNT_text,may affect lexical similarity or exact-run scoring if inside a compared phrase,not_assessed_case_by_case,
