question,conclusion,confidence
Mark–Matthew,Matthew most likely used Mark or a Mark-like written narrative source.,High
Mark–Luke (direct),"Luke probably used Mark or a Mark-like written narrative source; requires order-retention penalty against shared-tradition models.",Medium-high vs Mark-used-Luke; medium against all alternatives
Matthew–Luke double tradition,"The non-Markan double tradition is better modeled as a shared sayings/tradition layer than as simple one-way direct copying.",Medium-high
System-level model family,Markan priority plus a non-Markan sayings/tradition layer is the best-supported system family; Two-source and Farrer remain the two central scholarly competitors.,Medium
John–Synoptics,"John shares substantial anchor traditions with the Synoptics; shared anchor/passion/sign tradition is currently lower burden than direct Gospel-to-Gospel dependence. Local direct use remains possible anchor by anchor.",Medium
Minor agreements,"Minor agreements are a central unresolved discriminator; 118 algorithmic rows (21 high-strength) now constrain the Two-source / Farrer / Griesbach debate. Catalog requires hand curation before final claims.",Medium
Thomas–Synoptics,"Thomas is a curated logion-level sayings-network witness; 116 logia, 46 curated parallels, only 3 directional-claim-ready. Coptic–Greek automatic dependence not scored.",Medium for overlap; low for direction
1 Timothy 5:18 / Luke 10:7,"One of the strongest cases for a Luke-like written Jesus saying; not necessarily canonical Luke in final form.",High (targeted case)
James / Gospel sayings,James likely reflects Jesus tradition; direct use of Matthew or Luke is not demonstrated.,Medium-high
Paul/Luke eucharistic overlap,"1 Cor 11 / Luke 22 is best read as shared liturgical/formula tradition, not direct Pauline dependence on Luke.",Medium
Q as a discrete document,Supports a shared sayings/tradition layer; does not by itself prove one discrete recoverable Q document.,Medium-high for shared non-Markan sayings; medium-low for a discrete Q document
Other apocrypha beyond Thomas,Inventory/roadmap only; no firm dependence conclusions yet. Gospel of Peter and passion apocrypha are highest-value next test cases.,Low
