direction_id,pair,anchor_id,source,target,source_refs,target_refs,best_current_model,direct_use_burden,shared_tradition_burden,independent_convergence_burden,specific_features,best_pair,required_explanation_if_direction,contrary_evidence,plausible_response_model
john_used_mark,John↔Mark,john_baptist_witness_spirit_descends,Mark,John,Mark 1:9-11,John 1:29-34,shared_anchor_tradition,7.526,1.0,9.724,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Mark 1:10"", ""score"": 0.1957, ""max_exact_run"": ""ωσ περιστεραν""}",John converts baptism narrative into testimonial recognition; baptism action itself is displaced/offstage.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,john_baptist_witness_spirit_descends,John,Mark,John 1:29-34,Mark 1:9-11,shared_anchor_tradition,6.126,1.0,9.724,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Mark 1:10"", ""score"": 0.1957, ""max_exact_run"": ""ωσ περιστεραν""}",Synoptics would narrativize John’s testimony into a baptism scene with heavenly voice.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,john_baptist_witness_spirit_descends,Matthew,John,Matt 3:13-17,John 1:29-34,shared_anchor_tradition,7.601,1.0,9.649,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Matt 3:16"", ""score"": 0.1831, ""max_exact_run"": ""πνευμα καταβαινον""}",John converts baptism narrative into testimonial recognition; baptism action itself is displaced/offstage.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,john_baptist_witness_spirit_descends,John,Matthew,John 1:29-34,Matt 3:13-17,shared_anchor_tradition,6.201,1.0,9.649,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Matt 3:16"", ""score"": 0.1831, ""max_exact_run"": ""πνευμα καταβαινον""}",Synoptics would narrativize John’s testimony into a baptism scene with heavenly voice.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,john_baptist_witness_spirit_descends,Luke,John,Luke 3:21-22,John 1:29-34,shared_anchor_tradition,7.415,1.0,9.835,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Luke 3:22"", ""score"": 0.2142, ""max_exact_run"": ""ωσ περιστεραν""}",John converts baptism narrative into testimonial recognition; baptism action itself is displaced/offstage.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,john_baptist_witness_spirit_descends,John,Luke,John 1:29-34,Luke 3:21-22,shared_anchor_tradition,6.015,1.0,9.835,Baptist setting; Spirit descends; Jesus identified by divine sign,"{""john_ref"": ""John 1:32"", ""synoptic_ref"": ""Luke 3:22"", ""score"": 0.2142, ""max_exact_run"": ""ωσ περιστεραν""}",Synoptics would narrativize John’s testimony into a baptism scene with heavenly voice.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,temple_action_relocated,Mark,John,Mark 11:15-19,John 2:13-22,shared_anchor_tradition,7.265,3.125,10.985,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:14"", ""synoptic_ref"": ""Mark 11:15"", ""score"": 0.1558, ""max_exact_run"": ""τουσ πωλουντασ""}",John relocates the temple action to the beginning and makes it programmatic for Jesus’ identity/death/resurrection.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,temple_action_relocated,John,Mark,John 2:13-22,Mark 11:15-19,shared_anchor_tradition,6.365,3.125,10.985,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:14"", ""synoptic_ref"": ""Mark 11:15"", ""score"": 0.1558, ""max_exact_run"": ""τουσ πωλουντασ""}",Synoptics relocate the action to final week as a passion trigger.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,temple_action_relocated,Matthew,John,Matt 21:12-17,John 2:13-22,shared_anchor_tradition,7.19,3.125,11.06,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:15"", ""synoptic_ref"": ""Matt 21:12"", ""score"": 0.1684, ""max_exact_run"": ""τασ τραπεζασ""}",John relocates the temple action to the beginning and makes it programmatic for Jesus’ identity/death/resurrection.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,temple_action_relocated,John,Matthew,John 2:13-22,Matt 21:12-17,shared_anchor_tradition,6.29,3.125,11.06,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:15"", ""synoptic_ref"": ""Matt 21:12"", ""score"": 0.1684, ""max_exact_run"": ""τασ τραπεζασ""}",Synoptics relocate the action to final week as a passion trigger.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_luke,John↔Luke,temple_action_relocated,Luke,John,Luke 19:45-48,John 2:13-22,shared_anchor_tradition,7.232,3.125,11.018,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:14"", ""synoptic_ref"": ""Luke 19:45"", ""score"": 0.1613, ""max_exact_run"": ""τουσ πωλουντασ""}",John relocates the temple action to the beginning and makes it programmatic for Jesus’ identity/death/resurrection.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
luke_used_john,John↔Luke,temple_action_relocated,John,Luke,John 2:13-22,Luke 19:45-48,shared_anchor_tradition,6.332,3.125,11.018,Temple action; sellers/money-changers; challenge around temple authority,"{""john_ref"": ""John 2:14"", ""synoptic_ref"": ""Luke 19:45"", ""score"": 0.1613, ""max_exact_run"": ""τουσ πωλουντασ""}",Synoptics relocate the action to final week as a passion trigger.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_mark,John↔Mark,prophet_no_honor,Mark,John,Mark 6:4,John 4:44,shared_anchor_tradition,6.362,1.0,7.388,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Mark 6:4"", ""score"": 0.1647, ""max_exact_run"": ""ιησουσ""}",John abstracts a Nazareth rejection saying into a transitional travel comment.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
mark_used_john,John↔Mark,prophet_no_honor,John,Mark,John 4:44,Mark 6:4,shared_anchor_tradition,6.962,1.0,7.388,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Mark 6:4"", ""score"": 0.1647, ""max_exact_run"": ""ιησουσ""}",Synoptics localize a general proverb into the Nazareth rejection scene.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
john_used_matthew,John↔Matt,prophet_no_honor,Matthew,John,Matt 13:57,John 4:44,shared_anchor_tradition,6.361,1.0,7.389,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Matt 13:57"", ""score"": 0.1648, ""max_exact_run"": ""ιησουσ""}",John abstracts a Nazareth rejection saying into a transitional travel comment.,Shared anchor tradition is lower burden; lexical/order signal is weak or local rather than continuous.,Johannine theological transformation of selected Synoptic/Synoptic-like anchor material.
matthew_used_john,John↔Matt,prophet_no_honor,John,Matthew,John 4:44,Matt 13:57,shared_anchor_tradition,6.961,1.0,7.389,A prophet lacks honor in his own homeland/country,"{""john_ref"": ""John 4:44"", ""synoptic_ref"": ""Matt 13:57"", ""score"": 0.1648, ""max_exact_run"": ""ιησουσ""}",Synoptics localize a general proverb into the Nazareth rejection scene.,Shared anchor tradition is lower burden; Synoptic target would have to omit or de-Johannize major Johannine theology/discourses.,Synoptic condensation/narrativization of Johannine-like anchor traditions; currently high-burden and included for completeness.
