book,ref,original_idx,masked_as_markan,mask_rule,best_mark_ref,best_mark_original_idx,best_mark_score,best_mark_base_score,best_mark_lcs,best_mark_shared_content_lemmas,best_mark_rare_shared_lemmas,best_window_mark_ref,best_window_score,in_markan_chain,chain_mark_ref,chain_score,local_cluster,token_count,content_token_count,text
Matt,Matt 1:1,1,False,unmasked_non_markan,Mark 12:35,489,0.332036,0.310303,0.5,4,0,,0.0,False,,0.0,False,8,8,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.
Matt,Matt 1:2,2,False,unmasked_non_markan,Mark 12:26,480,0.190326,0.20982,0.0,3,2,,0.0,False,,0.0,False,18,10,"Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ,"
Matt,Matt 1:3,3,False,unmasked_non_markan,Mark 14:21,556,0.077646,0.099546,0.0,1,0,,0.0,False,,0.0,False,21,11,"Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,"
Matt,Matt 1:4,4,False,unmasked_non_markan,Mark 14:21,556,0.082196,0.10538,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,"
Matt,Matt 1:5,5,False,unmasked_non_markan,Mark 14:21,556,0.074956,0.096097,0.0,1,0,,0.0,False,,0.0,False,21,11,"Σαλμὼν δὲ ἐγέννησεν τὸν ⸂Βόες ἐκ τῆς Ῥαχάβ, Βόες⸃ δὲ ἐγέννησεν τὸν ⸂Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ⸃ δὲ ἐγέννησεν τὸν Ἰεσσαί,"
Matt,Matt 1:6,6,False,unmasked_non_markan,Mark 11:10,432,0.113498,0.14551,0.0,1,0,,0.0,False,,0.0,False,16,8,"Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. Δαυὶδ ⸀δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,"
Matt,Matt 1:7,7,False,unmasked_non_markan,Mark 14:21,556,0.081592,0.104605,0.0,1,0,,0.0,False,,0.0,False,15,9,"Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν ⸂Ἀσάφ,"
Matt,Matt 1:8,8,False,unmasked_non_markan,Mark 14:21,556,0.079935,0.102481,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ἀσὰφ⸃ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν,"
Matt,Matt 1:9,9,False,unmasked_non_markan,Mark 14:21,556,0.079935,0.102481,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,"
Matt,Matt 1:10,10,False,unmasked_non_markan,Mark 14:21,556,0.081042,0.1039,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν ⸂Ἀμώς, Ἀμὼς⸃ δὲ ἐγέννησεν τὸν Ἰωσίαν,"
Matt,Matt 1:11,11,False,unmasked_non_markan,Mark 12:19,473,0.079378,0.101766,0.0,1,0,,0.0,False,,0.0,False,13,6,Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.
Matt,Matt 1:12,12,False,unmasked_non_markan,Mark 14:21,556,0.066892,0.085759,0.0,1,0,,0.0,False,,0.0,False,14,8,"Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ,"
Matt,Matt 1:13,13,False,unmasked_non_markan,Mark 14:21,556,0.081235,0.104147,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,"
Matt,Matt 1:14,14,False,unmasked_non_markan,Mark 14:21,556,0.079935,0.102481,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,"
Matt,Matt 1:15,15,False,unmasked_non_markan,Mark 14:21,556,0.080724,0.103492,0.0,1,0,,0.0,False,,0.0,False,15,9,"Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν, Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,"
Matt,Matt 1:16,16,False,unmasked_non_markan,Mark 15:47,653,0.126306,0.144837,0.0,1,1,,0.0,False,,0.0,False,15,9,"Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος χριστός."
Matt,Matt 1:17,17,False,unmasked_non_markan,Mark 13:30,528,0.155273,0.199068,0.0,2,0,,0.0,False,,0.0,False,29,16,"Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες."
Matt,Matt 1:18,18,False,unmasked_non_markan,Mark 13:17,515,0.162129,0.190764,0.0,2,1,,0.0,False,,0.0,False,26,16,"Τοῦ δὲ ⸀Ἰησοῦ χριστοῦ ἡ ⸀γένεσις οὕτως ἦν. ⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου."
Matt,Matt 1:19,19,False,unmasked_non_markan,Mark 15:15,622,0.128758,0.147981,0.0,2,1,,0.0,False,,0.0,False,16,10,"Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν ⸀δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν."
Matt,Matt 1:20,20,False,unmasked_non_markan,Mark 12:36,490,0.150965,0.193545,0.0,5,0,,0.0,False,,0.0,False,31,18,"ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατ’ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου·"
