model_id,direction_id,pair,unit_id,source_range,target_range,obligation_type,required_explanation,contrary_evidence,response_model,basis
markan_priority_matthew_and_luke,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
two_source_mark_q,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
farrer_mark_matthew_luke,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
matthew_used_luke_plus_mark_like,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
proto_mark_plus_sayings:optional,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
oral_tradition_network:optional,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
markan_priority_matthew_and_luke,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
two_source_mark_q,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
farrer_mark_matthew_luke,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
matthew_used_luke_plus_mark_like,matthew_used_mark,Mark↔Matthew,Mark_Matthew_block_1,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,pericope_direction_requirement,"Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,directional_model_requirements_by_pericope
