pair,interval_id,direction_id,source,target,source_gap_range,target_gap_range,source_gap_count,target_gap_count,dominant_material_issue,directional_implication,plausible_response,contrary_evidence_value,interpretation
Mark↔Matthew,mm_gap_000,matthew_used_mark,Mark,Matthew,Mark 1:1–Mark 1:2,Matt 1:1–Matt 3:2,2,50,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,48,Matthew has 48 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_000,mark_used_matthew,Matthew,Mark,Matt 1:1–Matt 3:2,Mark 1:1–Mark 1:2,50,2,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,48,Matthew has 48 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_001,matthew_used_mark,Mark,Matthew,Mark 1:7–Mark 1:7,Matt 3:5–Matt 3:10,1,6,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,5,Matthew has 5 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_001,mark_used_matthew,Matthew,Mark,Matt 3:5–Matt 3:10,Mark 1:7–Mark 1:7,6,1,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,5,Matthew has 5 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_002,matthew_used_mark,Mark,Matthew,Mark 1:14–Mark 1:14,Matt 4:3–Matt 4:16,1,14,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,13,Matthew has 13 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_002,mark_used_matthew,Matthew,Mark,Matt 4:3–Matt 4:16,Mark 1:14–Mark 1:14,14,1,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,13,Matthew has 13 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_003,matthew_used_mark,Mark,Matthew,,Matt 4:24–Matt 7:28,0,112,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,112,Matthew has 112 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_003,mark_used_matthew,Matthew,Mark,Matt 4:24–Matt 7:28,,112,0,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,112,Matthew has 112 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_004,matthew_used_mark,Mark,Matthew,Mark 1:23–Mark 1:39,Matt 8:1–Matt 8:1,17,1,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,16,Mark has 16 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_004,mark_used_matthew,Matthew,Mark,Matt 8:1–Matt 8:1,Mark 1:23–Mark 1:39,1,17,target_addition,Mark adds material here beyond Matthew.,Markan expansion/vividization or de-grouping.,16,Mark has 16 more gap verses than Matthew at this boundary.
Mark↔Matthew,mm_gap_005,matthew_used_mark,Mark,Matthew,Mark 2:2–Mark 2:4,Matt 8:6–Matt 9:1,3,30,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,27,Matthew has 27 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_005,mark_used_matthew,Matthew,Mark,Matt 8:6–Matt 9:1,Mark 2:2–Mark 2:4,30,3,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,27,Matthew has 27 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_006,matthew_used_mark,Mark,Matthew,,Matt 9:18–Matt 11:30,0,93,target_addition,Matthew must add/insert/reposition extra material here.,Matthean added source/tradition/discourse/fulfillment material or relocation.,93,Matthew has 93 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_006,mark_used_matthew,Matthew,Mark,Matt 9:18–Matt 11:30,,93,0,target_omission_of_source,Mark must omit/non-use Matthean material here.,Markan epitome/abbreviation and action-narrative selectivity.,93,Matthew has 93 more gap verses than Mark at this boundary.
Mark↔Matthew,mm_gap_007,matthew_used_mark,Mark,Matthew,Mark 3:8–Mark 3:20,Matt 12:16–Matt 12:22,13,7,target_omission_of_source,Matthew must omit/compress Markan material here.,Matthean abbreviation or relocation.,6,Mark has 6 more gap verses than Matthew at this boundary.
