direction_id,pair,block_id,source,target,source_range,target_range,requirement_no,required_explanation,contrary_evidence,response_model
matthew_used_mark,Mark↔Matthew,1,Mark,Matthew,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,1,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
matthew_used_mark,Mark↔Matthew,1,Mark,Matthew,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,2,"Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
matthew_used_mark,Mark↔Matthew,1,Mark,Matthew,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,3,Matthew has a higher present-indicative ratio in the span (0.3333 vs 0.0); Mark→Matthew would require added present-tense vividness.,Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
matthew_used_mark,Mark↔Matthew,1,Mark,Matthew,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,4,Before this block Matthew has an inserted/repositioned interval of 50 verses (Matt 1:1–Matt 3:2) compared with 2 in Mark.,Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
mark_used_matthew,Mark↔Matthew,1,Matthew,Mark,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,1,"Mark span is longer (71 vs 51); this requires expansion, vividization, or added detail.",Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
mark_used_matthew,Mark↔Matthew,1,Matthew,Mark,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,2,"Within the span Mark preserves more unmatched material (2 vs 0), which fits Markan expansion, retention, or de-grouping.",Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
mark_used_matthew,Mark↔Matthew,1,Matthew,Mark,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,3,Matthew→Mark would fit smoothing away from present-tense vividness (0.3333→0.0).,Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
mark_used_matthew,Mark↔Matthew,1,Matthew,Mark,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,4,Before this block Mark lacks a Matthean interval of 50 verses (Matt 1:1–Matt 3:2); Matthew→Mark requires omission or non-use of that material.,Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
matthew_used_mark,Mark↔Matthew,2,Mark,Matthew,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,1,"Matthew span is longer (175 tokens vs 94); this requires expansion, insertion, or fuller retelling.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
matthew_used_mark,Mark↔Matthew,2,Mark,Matthew,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,2,"Within the span Matthew has more unmatched verses (3 vs Mark 0), which fits added material or redistribution into the Matthean span.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
