thomas_logion,word_count,lemma_count,registered_parallel_count,motifs,matthew_refs,mark_refs,luke_refs,john_refs,relation_type,matrix_strength,direct_dependence_burden_labels,best_first_model,coptic_greek_caveat,curation_status,automatic_coptic_greek_candidate_generation,automatic_coptic_greek_lexical_score_available,parallel_certainty,parallel_certainty_basis,analysis_ready_for_directional_claim
0,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
1,22,22,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
2,35,35,1,seek/find and transformation,Matt 7:7-8,,Luke 11:9-10,,shared_sayings_or_parable_tradition,medium,moderate,shared sayings tradition; Thomas expands toward revelatory sequence,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
3,103,103,1,kingdom inside/among you,,,Luke 17:20-21,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared kingdom saying with divergent theological framing,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
4,50,50,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
5,36,36,1,hidden/revealed,Matt 10:26,Mark 4:22,Luke 8:17,,shared_sayings_or_parable_tradition,high,low-to-moderate,portable proverb/tradition,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
6,94,94,1,fasting/prayer/alms disclosure,Matt 6:1-18,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared ethical tradition or anti-ritual polemic; direct dependence weak,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
7,42,42,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
8,99,99,1,fisherman/net and good fish,Matt 13:47-50,,,,shared_sayings_or_parable_tradition,medium,moderate,parable tradition; Thomas compresses/gnomizes,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
9,119,119,1,sower parable,Matt 13:3-8,Mark 4:3-8,Luke 8:5-8,,possible_synoptic_influence_or_harmonization,high,moderate,shared parable tradition; direct dependence possible if wording clusters survive in Greek witnesses,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium_high,motif + structured canonical parallel; direction uncertain,True
10,22,22,1,fire cast on earth,,,Luke 12:49,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared apocalyptic saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
11,92,92,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
12,53,53,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
13,191,191,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
14,101,101,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
15,33,33,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
16,85,85,1,division in household,Matt 10:34-36,,Luke 12:51-53,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared apocalyptic/mission saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
17,40,40,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
18,78,78,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
19,70,70,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
20,72,72,1,mustard seed,Matt 13:31-32,Mark 4:30-32,Luke 13:18-19,,possible_synoptic_influence_or_harmonization,high,moderate,parable tradition; direct dependence hard because compact parable travels orally,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium_high,motif + structured canonical parallel; direction uncertain,True
21,209,209,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
22,177,177,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
23,28,28,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
24,65,65,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
25,25,25,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
26,56,56,1,speck and beam,Matt 7:3-5,,Luke 6:41-42,,shared_sayings_or_parable_tradition,medium,low-to-moderate,portable satirical saying,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
27,29,29,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
28,107,107,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
29,43,43,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
30,27,27,0,,,,,,no_curated_canonical_parallel_in_prior_registry,none,,not assessed,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,no_curated_canonical_parallel_in_prior_registry,False,False,not_assessed,no curated parallel,False
31,18,18,1,prophet not accepted,Matt 13:57,Mark 6:4,Luke 4:24,John 4:44,shared_sayings_or_parable_tradition,high,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
32,30,30,1,city on hill,Matt 5:14,,,,overlapping_jesus_tradition_uncertain_direction,medium,moderate,shared saying; Matthew-context dependence possible but not forced,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,medium,curated motif/structure parallel,False
33,74,74,1,lamp not hidden,Matt 5:15,Mark 4:21,Luke 11:33; Luke 8:16,,shared_sayings_or_parable_tradition,high,low,portable proverb,Coptic Thomas is not automatically Greek-to-Greek scored; this row is curated/logion-level evidence.,curated_from_prior_registry,False,False,high,strong curated motif/structure parallel,False
