pair,block_id,block_label,pair_count,avg_score,mark_span_verse_count,matt_span_verse_count,mark_unmatched_count,matt_unmatched_count,mark_token_count,matt_token_count,gap_before_mark_count,gap_before_matt_count,gap_category,mark_range,matt_range,representative_primary_pairs,mark_text_preview,matt_text_preview,direction_id,source,target,source_range,target_range,operations,burden_score,required_explanations,contrary_evidence,plausible_response_model
Mark↔Matthew,1,Mark Mark 1:3–Mark 1:6 / Matt Matt 3:3–Matt 3:4,2,0.661667,4,2,2,0,71,51,2,50,target_addition_or_interposition,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,Mark 1:3~Matt 3:3; Mark 1:6~Matt 3:4,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ, ἐγένετο Ἰωάννης ⸀ὁ βαπτίζων ἐν τῇ ⸀ἐρήμῳ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν. καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμῖται ⸂πάντες, καὶ ἐβαπτίζοντο⸃ ⸂ὑπʼ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ⸃ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.","οὗτος γάρ ἐστιν ὁ ῥηθεὶς ⸀διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ. αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, ἡ δὲ τροφὴ ⸂ἦν αὐτοῦ⸃ ἀκρίδες καὶ μέλι ἄγριον.",matthew_used_mark,Mark,Matthew,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,abbreviation; matt_omissions; verbal_vividization; matt_interposition,,"Matthew span is shorter (51 vs 71); this requires abbreviation, omission, or simplification. | Within the span Mark has more unmatched verses (2 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material. | Matthew has a higher present-indicative ratio in the span (0.3333 vs 0.0); Mark→Matthew would require added present-tense vividness. | Before this block Matthew has an inserted/repositioned interval of 50 verses (Matt 1:1–Matt 3:2) compared with 2 in Mark.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
Mark↔Matthew,1,Mark Mark 1:3–Mark 1:6 / Matt Matt 3:3–Matt 3:4,2,0.661667,4,2,2,0,71,51,2,50,target_addition_or_interposition,Mark 1:3–Mark 1:6,Matt 3:3–Matt 3:4,Mark 1:3~Matt 3:3; Mark 1:6~Matt 3:4,"φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ, ἐγένετο Ἰωάννης ⸀ὁ βαπτίζων ἐν τῇ ⸀ἐρήμῳ κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν. καὶ ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμῖται ⸂πάντες, καὶ ἐβαπτίζοντο⸃ ⸂ὑπʼ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ⸃ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.","οὗτος γάρ ἐστιν ὁ ῥηθεὶς ⸀διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ. αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, ἡ δὲ τροφὴ ⸂ἦν αὐτοῦ⸃ ἀκρίδες καὶ μέλι ἄγριον.",mark_used_matthew,Matthew,Mark,Matt 3:3–Matt 3:4,Mark 1:3–Mark 1:6,expansion; mark_additions; verbal_smoothing; mark_nonuse_of_matt_gap,,"Mark span is longer (71 vs 51); this requires expansion, vividization, or added detail. | Within the span Mark preserves more unmatched material (2 vs 0), which fits Markan expansion, retention, or de-grouping. | Matthew→Mark would fit smoothing away from present-tense vividness (0.3333→0.0). | Before this block Mark lacks a Matthean interval of 50 verses (Matt 1:1–Matt 3:2); Matthew→Mark requires omission or non-use of that material.",Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
Mark↔Matthew,2,Mark Mark 1:8–Mark 1:13 / Matt Matt 3:11–Matt 4:2,6,0.348189,6,9,0,3,94,175,1,6,minor_gap_or_local_relocation,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,Mark 1:8~Matt 3:11; Mark 1:9~Matt 3:13; Mark 1:10~Matt 3:16; Mark 1:11~Matt 3:17; Mark 1:12~Matt 4:1,"⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ. Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃. καὶ ⸀εὐθὺς ἀναβαίνων ⸀ἐκ τοῦ ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ⸀ὡς περιστερὰν καταβαῖνον ⸀εἰς αὐτόν·","Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃· οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ. Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.",matthew_used_mark,Mark,Matthew,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,expansion; matt_additions; tempo_smoothing; scripturalization; verbal_vividization,,"Matthew span is longer (175 tokens vs 94); this requires expansion, insertion, or fuller retelling. | Within the span Matthew has more unmatched verses (3 vs Mark 0), which fits added material or redistribution into the Matthean span. | Mark has more tempo markers εὐθύς/εὐθέως in this span (2 vs 1); Mark→Matthew implies tempo smoothing or de-intensification. | Matthew has more explicit scriptural markers in-span (1 vs 0); Mark→Matthew implies scripturalization or explicit citation. | Matthew has a higher present-indicative ratio in the span (0.4286 vs 0.1538); Mark→Matthew would require added present-tense vividness.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
Mark↔Matthew,2,Mark Mark 1:8–Mark 1:13 / Matt Matt 3:11–Matt 4:2,6,0.348189,6,9,0,3,94,175,1,6,minor_gap_or_local_relocation,Mark 1:8–Mark 1:13,Matt 3:11–Matt 4:2,Mark 1:8~Matt 3:11; Mark 1:9~Matt 3:13; Mark 1:10~Matt 3:16; Mark 1:11~Matt 3:17; Mark 1:12~Matt 4:1,"⸀ἐγὼ ἐβάπτισα ⸀ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ⸀ἐν πνεύματι ἁγίῳ. Καὶ ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν Ἰησοῦς ἀπὸ Ναζαρὲτ τῆς Γαλιλαίας καὶ ἐβαπτίσθη ⸂εἰς τὸν Ἰορδάνην ὑπὸ Ἰωάννου⸃. καὶ ⸀εὐθὺς ἀναβαίνων ⸀ἐκ τοῦ ὕδατος εἶδεν σχιζομένους τοὺς οὐρανοὺς καὶ τὸ πνεῦμα ⸀ὡς περιστερὰν καταβαῖνον ⸀εἰς αὐτόν·","Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃· οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ. Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.",mark_used_matthew,Matthew,Mark,Matt 3:11–Matt 4:2,Mark 1:8–Mark 1:13,abbreviation; mark_omissions; tempo_intensification; descripturalization; verbal_smoothing,,"Mark span is shorter (94 vs 175); this requires abbreviation, omission, or condensation. | Within the span Mark lacks 3 relative Matthean verses, which requires omission or stronger compression. | Mark has more tempo markers (2 vs 1); Matthew→Mark implies intensification or vividization. | Matthew→Mark would require de-scripturalization or removal of explicit citation markers (1→0). | Matthew→Mark would fit smoothing away from present-tense vividness (0.4286→0.1538).",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
Mark↔Matthew,3,Mark Mark 1:15–Mark 1:21 / Matt Matt 4:17–Matt 4:23,7,0.398465,7,7,0,0,112,131,1,14,target_addition_or_interposition,Mark 1:15–Mark 1:21,Matt 4:17–Matt 4:23,Mark 1:15~Matt 4:17; Mark 1:16~Matt 4:18; Mark 1:17~Matt 4:19; Mark 1:18~Matt 4:20; Mark 1:19~Matt 4:21,"καὶ λέγων ὅτι Πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ. ⸂Καὶ παράγων⸃ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ⸀ἀδελφὸν Σίμωνος ⸀ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλιεῖς· καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων.","Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν· Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν. Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν, ἦσαν γὰρ ἁλιεῖς· καὶ λέγει αὐτοῖς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς ἁλιεῖς ἀνθρώπων.",matthew_used_mark,Mark,Matthew,Mark 1:15–Mark 1:21,Matt 4:17–Matt 4:23,expansion; tempo_smoothing; terminology_shift; descripturalization; matt_interposition,,"Matthew span is longer (131 tokens vs 112); this requires expansion, insertion, or fuller retelling. | Mark has more tempo markers εὐθύς/εὐθέως in this span (3 vs 2); Mark→Matthew implies tempo smoothing or de-intensification. | Mark uses βασιλεία τοῦ θεοῦ (1) while Matthew uses βασιλεία τῶν οὐρανῶν (1); Mark→Matthew implies terminology substitution. | Mark has more scriptural markers in-span (1 vs 0); Mark→Matthew would require their reduction. | Before this block Matthew has an inserted/repositioned interval of 14 verses (Matt 4:3–Matt 4:16) compared with 1 in Mark.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
Mark↔Matthew,3,Mark Mark 1:15–Mark 1:21 / Matt Matt 4:17–Matt 4:23,7,0.398465,7,7,0,0,112,131,1,14,target_addition_or_interposition,Mark 1:15–Mark 1:21,Matt 4:17–Matt 4:23,Mark 1:15~Matt 4:17; Mark 1:16~Matt 4:18; Mark 1:17~Matt 4:19; Mark 1:18~Matt 4:20; Mark 1:19~Matt 4:21,"καὶ λέγων ὅτι Πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ. ⸂Καὶ παράγων⸃ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ⸀ἀδελφὸν Σίμωνος ⸀ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλιεῖς· καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων.","Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ λέγειν· Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν. Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν, ἦσαν γὰρ ἁλιεῖς· καὶ λέγει αὐτοῖς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς ἁλιεῖς ἀνθρώπων.",mark_used_matthew,Matthew,Mark,Matt 4:17–Matt 4:23,Mark 1:15–Mark 1:21,abbreviation; tempo_intensification; terminology_shift; scripturalization; mark_nonuse_of_matt_gap,,"Mark span is shorter (112 vs 131); this requires abbreviation, omission, or condensation. | Mark has more tempo markers (3 vs 2); Matthew→Mark implies intensification or vividization. | The same contrast requires Matthew→Mark to replace βασιλεία τῶν οὐρανῶν with βασιλεία τοῦ θεοῦ. | Matthew→Mark would require added explicit citation markers (0→1). | Before this block Mark lacks a Matthean interval of 14 verses (Matt 4:3–Matt 4:16); Matthew→Mark requires omission or non-use of that material.",Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
Mark↔Matthew,4,Mark Mark 1:22–Mark 1:22 / Matt Matt 7:29–Matt 7:29,1,0.714092,1,1,0,0,18,13,0,112,target_addition_or_interposition,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,Mark 1:22~Matt 7:29,"καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.",ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς ⸀αὐτῶν.,matthew_used_mark,Mark,Matthew,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,abbreviation; redistribution; matt_interposition,,"Matthew span is shorter (13 vs 18); this requires abbreviation, omission, or simplification. | Alignment confidence is low; either direction would require more thematic redistribution or partial reuse assumptions. | Before this block Matthew has an inserted/repositioned interval of 112 verses (Matt 4:24–Matt 7:28) compared with 0 in Mark.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
Mark↔Matthew,4,Mark Mark 1:22–Mark 1:22 / Matt Matt 7:29–Matt 7:29,1,0.714092,1,1,0,0,18,13,0,112,target_addition_or_interposition,Mark 1:22–Mark 1:22,Matt 7:29–Matt 7:29,Mark 1:22~Matt 7:29,"καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.",ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς ⸀αὐτῶν.,mark_used_matthew,Matthew,Mark,Matt 7:29–Matt 7:29,Mark 1:22–Mark 1:22,expansion; redistribution; mark_nonuse_of_matt_gap,,"Mark span is longer (18 vs 13); this requires expansion, vividization, or added detail. | Alignment confidence is low; either direction would require more thematic redistribution or partial reuse assumptions. | Before this block Mark lacks a Matthean interval of 112 verses (Matt 4:24–Matt 7:28); Matthew→Mark requires omission or non-use of that material.",Matthew has large source material that Mark must omit or ignore; cumulative omission burden is high.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
Mark↔Matthew,5,Mark Mark 1:40–Mark 2:1 / Matt Matt 8:2–Matt 8:5,4,0.478942,7,4,3,0,110,62,17,1,source_material_omitted_or_compressed_by_target,Mark 1:40–Mark 2:1,Matt 8:2–Matt 8:5,Mark 1:40~Matt 8:2; Mark 1:41~Matt 8:3; Mark 1:44~Matt 8:4; Mark 2:1~Matt 8:5,"Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι. ⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι· καὶ ⸀εὐθὺς ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη.","καὶ ἰδοὺ λεπρὸς ⸀προσελθὼν προσεκύνει αὐτῷ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι. καὶ ἐκτείνας τὴν χεῖρα ἥψατο ⸀αὐτοῦ λέγων· Θέλω, καθαρίσθητι· καὶ εὐθέως ἐκαθαρίσθη αὐτοῦ ἡ λέπρα. καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Ὅρα μηδενὶ εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.",matthew_used_mark,Mark,Matthew,Mark 1:40–Mark 2:1,Matt 8:2–Matt 8:5,abbreviation; matt_omissions; tempo_smoothing; matt_nonuse_of_mark_gap,,"Matthew span is shorter (62 vs 110); this requires abbreviation, omission, or simplification. | Within the span Mark has more unmatched verses (3 vs Matthew 0), which requires Matthew to compress, omit, or redistribute more material. | Mark has more tempo markers εὐθύς/εὐθέως in this span (2 vs 1); Mark→Matthew implies tempo smoothing or de-intensification. | Before this block Mark has an unmatched interval of 17 verses (Mark 1:23–Mark 1:39) compared with 1 in Matthew.",Local changes still require redactional explanation.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.
Mark↔Matthew,5,Mark Mark 1:40–Mark 2:1 / Matt Matt 8:2–Matt 8:5,4,0.478942,7,4,3,0,110,62,17,1,source_material_omitted_or_compressed_by_target,Mark 1:40–Mark 2:1,Matt 8:2–Matt 8:5,Mark 1:40~Matt 8:2; Mark 1:41~Matt 8:3; Mark 1:44~Matt 8:4; Mark 2:1~Matt 8:5,"Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι. ⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι· καὶ ⸀εὐθὺς ἀπῆλθεν ἀπʼ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη.","καὶ ἰδοὺ λεπρὸς ⸀προσελθὼν προσεκύνει αὐτῷ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι. καὶ ἐκτείνας τὴν χεῖρα ἥψατο ⸀αὐτοῦ λέγων· Θέλω, καθαρίσθητι· καὶ εὐθέως ἐκαθαρίσθη αὐτοῦ ἡ λέπρα. καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Ὅρα μηδενὶ εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.",mark_used_matthew,Matthew,Mark,Matt 8:2–Matt 8:5,Mark 1:40–Mark 2:1,expansion; mark_additions; tempo_intensification; mark_preserves_extra_material,,"Mark span is longer (110 vs 62); this requires expansion, vividization, or added detail. | Within the span Mark preserves more unmatched material (3 vs 0), which fits Markan expansion, retention, or de-grouping. | Mark has more tempo markers (2 vs 1); Matthew→Mark implies intensification or vividization. | Before this block Matthew lacks a Markan interval of 17 verses (Mark 1:23–Mark 1:39); Matthew→Mark fits Markan expansion, preservation, or non-Matthean material.",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.
