layer,source_ref,target_ref,edge_basis,score,max_exact_run_len,max_exact_run,negative_space_flags,provisional_reading,formula_risk
epistles_to_gospels,Rom 1:1,John 13:16,automatic_greek_window,0.1724,1.0,δουλοσ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:2,Luke 24:27,automatic_greek_window,0.211,2.0,των προφητων,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:2,Luke 24:26-27,automatic_greek_window,0.1785,2.0,των προφητων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:2,Luke 24:27-28,automatic_greek_window,0.1737,2.0,των προφητων,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:3,John 7:42,automatic_greek_window,0.2055,2.0,σπερματοσ δαυιδ,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:3,John 7:41-42,automatic_greek_window,0.1818,2.0,σπερματοσ δαυιδ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:3,John 7:42-43,automatic_greek_window,0.1816,2.0,σπερματοσ δαυιδ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:5,Matt 24:14,automatic_greek_window,0.2055,3.0,πασιν τοισ εθνεσιν,,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:5,Matt 24:13-14,automatic_greek_window,0.1968,3.0,πασιν τοισ εθνεσιν,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:5,Mark 11:17,automatic_greek_window,0.1854,3.0,πασιν τοισ εθνεσιν,low_score_semantic_only_or_noise,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:6,Luke 24:48,automatic_greek_window,0.2047,1.0,εστε,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:6,Matt 15:16,automatic_greek_window,0.2047,2.0,και υμεισ,thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:6,John 15:27,automatic_greek_window,0.1849,2.0,και υμεισ,low_score_semantic_only_or_noise|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:8,Matt 26:13,automatic_greek_window,0.2084,4.0,εν ολω τω κοσμω,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:8,Matt 26:12-13,automatic_greek_window,0.1922,4.0,εν ολω τω κοσμω,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
epistles_to_gospels,Rom 1:8,Matt 26:13-14,automatic_greek_window,0.1896,4.0,εν ολω τω κοσμω,nonfungible_phrase_candidate|thin_lexical_basis,inspect; exact/scripture/formula flags may explain similarity,low
