source,target,direction_id,status,method_class,best_response_model,available_burden_scores,primary_data_files
Matthew,Matthew,self,not_applicable,self,,,
Matthew,Mark,mark_used_matthew,"possible locally, higher cumulative burden",synoptic_chain_or_block,Markan epitome/abbreviation model with deliberate focus on action narrative and omission of long discourse/infancy material; plausible only if Mark had strong genre/theological reasons to compress Matthew.,direct_use:788.66,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Matthew,Luke,luke_used_matthew,possible locally; not demonstrated by masked data alone,synoptic_chain_or_block,"Luke used Matthew selectively, deliberately de-Mattheanizing discourse clusters and redistributing sayings; plausible under a strong editorial-theological program but not forced by current masked data.",full_pair_direct_use:142.559; masked_direct_use:26.446,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Matthew,John,john_used_matthew,possible locally; shared anchor tradition currently lower burden,john_anchor_low_verbatim,John used Matthew-like tradition selectively or knew Synoptic tradition in a Matthean form; current evidence is better treated anchor by anchor.,anchor_direct_use:55.862,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Mark,Matthew,matthew_used_mark,supported / high confidence relative to reverse,synoptic_chain_or_block,"Matthean redaction of Mark-like narrative source plus additional sayings, fulfillment, infancy, and discourse traditions.",direct_use:774.87,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Mark,Mark,self,not_applicable,self,,,
Mark,Luke,luke_used_mark,supported over reverse among direct-use alternatives; medium-high with order-retention penalties,synoptic_chain_or_block,"Luke used Mark-like narrative source selectively, combining it with other sources/traditions and extensive Lukan redaction; shared-tradition alternatives must pay an order-retention penalty.",direct_use:254.6466,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Mark,John,john_used_mark,possible locally; shared anchor tradition currently lower burden,john_anchor_low_verbatim,"John knew Mark or Mark-like tradition but used it selectively through a theological rewriting program; strongest only for local passion/sign anchors, not global dependence.",anchor_direct_use:59.741,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Luke,Matthew,matthew_used_luke,not demonstrated after Markan masking; possible locally,synoptic_chain_or_block,"Matthew used Luke-like sayings/tradition or Luke itself selectively, reorganizing sayings into discourse blocks; strongest version requires a robust explanation for displaced double-tradition order.",full_pair_direct_use:75.477; masked_direct_use:26.446,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Luke,Mark,mark_used_luke,"possible locally, higher burden than Luke used Mark among direct-use alternatives",synoptic_chain_or_block,Markan epitome of Luke with radical abbreviation and narrative concentration; this is a high-burden response model in the current data.,direct_use:303.1966,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
Luke,Luke,self,not_applicable,self,,,
Luke,John,john_used_luke,possible locally; shared anchor tradition currently lower burden,john_anchor_low_verbatim,"John knew Luke-like traditions or a shared passion/sign source; direct use of canonical Luke remains a local possibility, not a global conclusion.",anchor_direct_use:58.598,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
John,Matthew,matthew_used_john,low support; included for completeness,john_anchor_low_verbatim,Matthew knew a Johannine-like anchor tradition but not necessarily the Gospel of John; direct use of John is not currently supported.,anchor_reverse_direct_use:60.162,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
John,Mark,mark_used_john,low support; included for completeness,john_anchor_low_verbatim,A radical Synoptic condensation of Johannine tradition; currently a high-burden completeness hypothesis.,anchor_reverse_direct_use:64.041,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
John,Luke,luke_used_john,low support; included for completeness,john_anchor_low_verbatim,Luke knew a shared Johannine-like passion/sign tradition rather than using canonical John; direct John→Luke is a low-priority hypothesis.,anchor_reverse_direct_use:61.698,data/20_model_pericope_obligation_ledger.csv;data/50_direction_burden_reference.csv;data/80_direction_support_contra_cards.yaml
John,John,self,not_applicable,self,,,
