rank_in_chain	matt_ref	luke_ref	score	op_index	op	matt_segment	luke_segment
1	Matt 1:25	Luke 1:31	0.420808	1	equal	και	και
1	Matt 1:25	Luke 1:31	0.420808	2	replace	ουκ εγινωσκεν αυτην εωσ ου ετεκεν	ιδου συλλημψη εν γαστρι και τεξη
1	Matt 1:25	Luke 1:31	0.420808	3	equal	υιον και	υιον και
1	Matt 1:25	Luke 1:31	0.420808	4	replace	εκαλεσεν	καλεσεισ
1	Matt 1:25	Luke 1:31	0.420808	5	equal	το ονομα αυτου ιησουν	το ονομα αυτου ιησουν
2	Matt 3:7	Luke 3:7	0.509213	1	replace	ιδων δε πολλουσ των φαρισαιων και σαδδουκαιων ερχομενουσ επι το βαπτισμα	ελεγεν ουν τοισ εκπορευομενοισ οχλοισ βαπτισθηναι υπ
2	Matt 3:7	Luke 3:7	0.509213	2	equal	αυτου	αυτου
2	Matt 3:7	Luke 3:7	0.509213	3	delete	ειπεν αυτοισ	
2	Matt 3:7	Luke 3:7	0.509213	4	equal	γεννηματα εχιδνων τισ υπεδειξεν υμιν φυγειν απο τησ μελλουσησ οργησ	γεννηματα εχιδνων τισ υπεδειξεν υμιν φυγειν απο τησ μελλουσησ οργησ
3	Matt 3:9	Luke 3:8	0.848287	1	insert		ποιησατε ουν καρπουσ αξιουσ τησ μετανοιασ
3	Matt 3:9	Luke 3:8	0.848287	2	equal	και μη	και μη
3	Matt 3:9	Luke 3:8	0.848287	3	replace	δοξητε	αρξησθε
3	Matt 3:9	Luke 3:8	0.848287	4	equal	λεγειν εν εαυτοισ πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεοσ εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ	λεγειν εν εαυτοισ πατερα εχομεν τον αβρααμ λεγω γαρ υμιν οτι δυναται ο θεοσ εκ των λιθων τουτων εγειραι τεκνα τω αβρααμ
4	Matt 3:10	Luke 3:9	0.936615	1	equal	ηδη δε	ηδη δε
4	Matt 3:10	Luke 3:9	0.936615	2	insert		και
4	Matt 3:10	Luke 3:9	0.936615	3	equal	η αξινη προσ την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εισ πυρ βαλλεται	η αξινη προσ την ριζαν των δενδρων κειται παν ουν δενδρον μη ποιουν καρπον καλον εκκοπτεται και εισ πυρ βαλλεται
5	Matt 3:12	Luke 3:17	0.749568	1	equal	ου το πτυον εν τη χειρι αυτου	ου το πτυον εν τη χειρι αυτου
5	Matt 3:12	Luke 3:17	0.749568	2	replace	και διακαθαριει	διακαθαραι
