layer	pair_id	matt_ref	luke_ref	score	lcs	tags	matt_text	luke_text	lemma_diff	surface_diff	matt_only_lemmas	luke_only_lemmas	shared_lemmas
primary_chain	1	Matt 1:25	Luke 1:31	0.598505	0.714286	moderate_parallel;content_order_preserved;multi_lemma_overlap	καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν ⸀υἱόν· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.	καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν.	οὐ γινώσκω αὐτός ἕως ὅς → ἰδού συλλαμβάνω ἐν γαστήρ καί	οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν → ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ; ἐκάλεσεν → καλέσεις	οὐ γινώσκω	συλλαμβάνω γαστήρ	καλέω τίκτω υἱός Ἰησοῦς ὄνομα
primary_chain	2	Matt 3:7	Luke 3:7	0.581523	0.700000	moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap	Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα ⸀αὐτοῦ εἶπεν αὐτοῖς· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;	Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπ’ αὐτοῦ· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;	ὁράω δέ πολύς → λέγω οὖν; Φαρισαῖος καί Σαδδουκαῖος ἔρχομαι ἐπί ὁ βάπτισμα αὐτός λέγω → ἐκπορεύομαι ὄχλος βαπτίζω ὑπό	Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα → Ἔλεγεν οὖν τοῖς ἐκπορευομένοις ὄχλοις βαπτισθῆναι ὑπ’; −M[εἶπεν αὐτοῖς]	ὁράω πολύς Φαρισαῖος Σαδδουκαῖος ἔρχομαι βάπτισμα	ἐκπορεύομαι ὄχλος βαπτίζω	γέννημα λέγω μέλλω φεύγω ἔχιδνα ὀργή ὑποδείκνυμι
primary_chain	3	Matt 3:9	Luke 3:8	0.759584	0.923077	strong_parallel;content_order_preserved;multi_lemma_overlap	καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.	ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας· καὶ μὴ ἄρξησθε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.	+L[ποιέω οὖν καρπός ἄξιος ὁ μετάνοια]; δοκέω → ἄρχω	+L[ποιήσατε οὖν καρποὺς ἀξίους τῆς μετανοίας]; δόξητε → ἄρξησθε	δοκέω	ποιέω καρπός ἄξιος μετάνοια ἄρχω	δύναμαι θεός λέγω λίθος μή πατήρ τέκνον Ἀβραάμ ἐγείρω ἔχω
primary_chain	4	Matt 3:10	Luke 3:9	0.936647	1.000000	close_match;content_order_preserved;multi_lemma_overlap	ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.	ἤδη δὲ καὶ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.	+L[καί]	+L[καὶ]		καί	βάλλω δένδρον καλός καρπός κεῖμαι μή ποιέω πᾶς πῦρ ἀξίνη ἐκκόπτω ἤδη ῥίζα
primary_chain	5	Matt 3:12	Luke 3:17	0.818265	0.909091	close_match;content_order_preserved;multi_lemma_overlap	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ ⸀διακαθᾶραι τὴν ἅλωνα αὐτοῦ καὶ ⸀συναγαγεῖν τὸν σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.	καί διακαθαρίζω → διακαθαίρω; −M[αὐτός]; +L[αὐτός]	καὶ διακαθαριεῖ → διακαθᾶραι; συνάξει → συναγαγεῖν; −M[αὐτοῦ]; +L[αὐτοῦ]	διακαθαρίζω	διακαθαίρω	κατακαίω πτύον πῦρ συνάγω σῖτος χείρ ἀποθήκη ἄσβεστος ἄχυρον ἅλων
primary_chain	6	Matt 4:3	Luke 4:3	0.515209	0.777778	moderate_parallel;content_order_preserved;multi_lemma_overlap	καὶ προσελθὼν ⸂ὁ πειράζων εἶπεν αὐτῷ⸃· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.	⸂εἶπεν δὲ⸃ αὐτῷ ὁ διάβολος· Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ τῷ λίθῳ τούτῳ ἵνα γένηται ἄρτος.	καί προσέρχομαι → λέγω δέ αὐτός; πειράζω λέγω αὐτός → διάβολος; −M[ἵνα]; +L[ἵνα γίνομαι]; −M[γίνομαι]	καὶ προσελθὼν → εἶπεν δὲ αὐτῷ; πειράζων εἶπεν αὐτῷ → διάβολος; +L[τῷ λίθῳ τούτῳ]; οἱ λίθοι οὗτοι ἄρτοι γένωνται → γένηται ἄρτος	προσέρχομαι πειράζω	διάβολος	γίνομαι εἰμί θεός λέγω λίθος υἱός ἄρτος
primary_chain	7	Matt 4:4	Luke 4:4	0.472430	0.875000	moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap	ὁ δὲ ἀποκριθεὶς εἶπεν· Γέγραπται· Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ἄνθρωπος, ἀλλ’ ⸀ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ.	καὶ ἀπεκρίθη ⸂πρὸς αὐτὸν ὁ Ἰησοῦς⸃· Γέγραπται ὅτι Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ⸀ἄνθρωπος.	+L[καί ἀποκρίνομαι πρός αὐτός]; δέ ἀποκρίνομαι λέγω → Ἰησοῦς; +L[ὅτι]; −M[ἀλλά ἐπί πᾶς ῥῆμα ἐκπορεύομαι διά στόμα θεός]	+L[καὶ ἀπεκρίθη πρὸς αὐτὸν]; δὲ ἀποκριθεὶς εἶπεν → Ἰησοῦς; +L[ὅτι]; −M[ἀλλ’ ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ]	λέγω πᾶς ῥῆμα ἐκπορεύομαι στόμα θεός	Ἰησοῦς	γράφω ζάω μόνος οὐ ἀποκρίνομαι ἄνθρωπος ἄρτος
primary_chain	8	Matt 4:6	Luke 4:11	0.601248	1.000000	strong_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap	καὶ λέγει αὐτῷ· Εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν κάτω· γέγραπται γὰρ ὅτι Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ χειρῶν ἀροῦσίν σε, μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.	καὶ ⸀ὅτι Ἐπὶ χειρῶν ἀροῦσίν σε μήποτε προσκόψῃς πρὸς λίθον τὸν πόδα σου.	−M[λέγω αὐτός εἰ υἱός εἰμί ὁ θεός βάλλω σεαυτοῦ κάτω γράφω γάρ]; −M[ὁ ἄγγελος αὐτός ἐντέλλομαι περί σύ καί]	−M[λέγει αὐτῷ Εἰ υἱὸς εἶ τοῦ θεοῦ βάλε σεαυτὸν κάτω γέγραπται γὰρ]; Τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ καὶ ἐπὶ → Ἐπὶ	λέγω υἱός εἰμί θεός βάλλω κάτω γράφω ἄγγελος ἐντέλλομαι		αἴρω λίθος πούς προσκόπτω χείρ
primary_chain	9	Matt 4:7	Luke 4:12	0.547393	0.625000	moderate_parallel;multi_lemma_overlap	ἔφη αὐτῷ ὁ Ἰησοῦς· Πάλιν γέγραπται· Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου.	καὶ ἀποκριθεὶς εἶπεν αὐτῷ ὁ Ἰησοῦς ὅτι Εἴρηται· Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου.	φημί → καί ἀποκρίνομαι λέγω; πάλιν γράφω → ὅτι λέγω	ἔφη → καὶ ἀποκριθεὶς εἶπεν; Πάλιν γέγραπται → ὅτι Εἴρηται	φημί πάλιν γράφω	ἀποκρίνομαι λέγω λέγω	θεός κύριος οὐ ἐκπειράζω Ἰησοῦς
primary_chain	10	Matt 5:3	Luke 6:20	0.356689	0.666667	weak_parallel;luke_expands_or_matt_abbreviates;content_order_preserved	Μακάριοι οἱ πτωχοὶ τῷ πνεύματι, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.	Καὶ αὐτὸς ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ εἰς τοὺς μαθητὰς αὐτοῦ ἔλεγεν· Μακάριοι οἱ πτωχοί, ὅτι ὑμετέρα ἐστὶν ἡ βασιλεία τοῦ θεοῦ.	+L[καί αὐτός ἐπαίρω ὁ ὀφθαλμός αὐτός εἰς ὁ μαθητής αὐτός λέγω]; −M[ὁ πνεῦμα]; αὐτός → ὑμέτερος; οὐρανός → θεός	+L[Καὶ αὐτὸς ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ εἰς τοὺς μαθητὰς αὐτοῦ ἔλεγεν]; πτωχοὶ τῷ πνεύματι → πτωχοί; αὐτῶν ἐστιν → ὑμετέρα ἐστὶν; τῶν οὐρανῶν → τοῦ θεοῦ	πνεῦμα οὐρανός	ἐπαίρω ὀφθαλμός μαθητής λέγω ὑμέτερος θεός	βασιλεία εἰμί μακάριος πτωχός
